單位名稱,lon,lat,編號,電話,地址,縣市,鄉鎮市區,鄰里
榮星藥局,121.555235,25.052137,5901010076,(02)27124696,臺北市松山區南京東路４段１３３巷５弄１號,臺北市,松山區,東勢里
安世藥局,121.555562,25.05214,5901010085,(02)27133405,臺北市松山區南京東路４段１３３巷５弄９號,臺北市,松山區,東勢里
明一藥局,121.558168,25.052704,5901010094,(02)27691654,臺北市松山區南京東路５段５９巷２８弄２５號１樓,臺北市,松山區,東光里
傑安藥局,121.547337,25.049139,5901010165,(02)27524155,臺北市松山區八德路２段４３７巷７弄８號１樓,臺北市,松山區,中正里
仁弘藥局,121.546586,25.059485,5901010174,(02)27136764,臺北市松山區民生東路３段１１３巷２５弄６號１樓,臺北市,松山區,民有里
健全藥局,121.544911,25.063269,5901010290,(02)27128293,臺北市松山區民權東路３段１０３巷２０號,臺北市,松山區,民福里
合生藥局,121.560748,25.053638,5901010576,(02)27602932,臺北市松山區南京東路５段１２３巷４５號１樓,臺北市,松山區,東光里
上允藥局,121.559049,25.058364,5901011662,(02)27696905,臺北市松山區民生東路５段７８號,臺北市,松山區,介壽里
萬泰藥局,121.547103,25.059943,5901011975,(02)27135891,臺北市松山區敦化北路２２２巷３８號,臺北市,松山區,民有里
博荃藥局,121.544742,25.050063,5901012203,(02)27316736,臺北市松山區敦化北路４巷５１號,臺北市,松山區,中正里
予志藥局,121.564944,25.061186,5901012570,(02)27623522,臺北市松山區富錦街５２１號,臺北市,松山區,富錦里
婕登藥局,121.576644,25.050207,5901012598,(02)27482893,臺北市松山區八德路４段６９９號,臺北市,松山區,慈祐里
晨安藥局,121.555326,25.049137,5901012632,(02)25798460,臺北市松山區八德路３段１５５巷２０弄２號,臺北市,松山區,復勢里
銘德藥局,121.545925,25.047242,5901012650,(02)27511833,臺北市松山區八德路２段３６６巷２８號,臺北市,松山區,中崙里
立康大藥局,121.558111,25.048117,5901012712,(02)27471749,臺北市松山區八德路四段２－１號,臺北市,松山區,復盛里
躍獅松和藥局,121.576092,25.04979,5901012749,(02)27492569,臺北市松山區八德路四段６６６－１號,臺北市,松山區,慈祐里
京東藥局,121.566945,25.05114,5901012758,(02)27679503,臺北市松山區南京東路五段２７２號,臺北市,松山區,新聚里
躍獅京華藥局,121.559562,25.051715,5901012918,(02)27666508,臺北市松山區南京東路５段７１號,臺北市,松山區,東光里
綠之家藥局,121.556217,25.056197,5901012963,(02)25289595,臺北市松山區延壽街４２８號,臺北市,松山區,龍田里
唯康藥局,121.556637,25.048196,5901013148,(02)25775000,臺北市松山區八德路３段２１１號,臺北市,松山區,復勢里
立赫敦北藥局,121.547743,25.059447,5901013308,(02)27199277,臺北市松山區敦化北路２２２巷２０號,臺北市,松山區,民有里
富景藥局,121.563097,25.060785,5901013326,(02)27455666,臺北市松山區三民路１４５號,臺北市,松山區,三民里
健康活力藥師藥局,121.56693,25.05931,5901013344,(02)27455556,臺北市松山區民生東路５段２１９號,臺北市,松山區,新東里
啄木鳥藥局,121.563947,25.049197,5901013362,(02)27422413,臺北市松山區八德路４段２０９號、２１１號（１、２層）,臺北市,松山區,吉祥里
玖田藥局,121.575529,25.050178,5901013371,(02)27666578,臺北市松山區八德路４段６５５號,臺北市,松山區,慈祐里
一安正昇藥局,121.569309,25.051077,5901013399,(02)27680993,臺北市松山區南京東路５段３０９號,臺北市,松山區,安平里
松山八德藥局,121.54657,25.048043,5901013442,(02)27782773,臺北市松山區八德路２段４００號,臺北市,松山區,中崙里
新德大藥局,121.577035,25.050743,5901013451,(02)27673402,臺北市松山區饒河街２０４號,臺北市,松山區,慈祐里
